chiusura_max.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.1585	-5.13611	-3.92761	2.61841	12.68921	-16.91895
0.159	-10.37292	-4.22974	-6.54602	16.11328	-25.98267
0.1595	-10.17151	-0.10071	-4.02832	19.33594	-31.52161
0.16	-8.35876	-1.91345	0.70496	23.06213	-34.14001
0.1605	-5.94177	-0.40283	0	25.88196	-35.75134
0.161	-13.797	0.20142	-2.92053	18.42957	-32.52869
0.1615	-11.98425	-1.51062	1.91345	18.8324	-32.42798
0.162	-11.78284	-0.90637	-7.35168	17.22107	-29.60815
0.1625	-10.57434	4.43115	0.90637	3.7262	-18.32886
0.163	-10.27222	-6.84814	0.10071	-10.0708	30.31311
0.1635	-15.60974	-7.85522	-2.41699	-31.11877	66.36658
0.164	-9.36584	-8.25806	-3.32336	-48.64197	80.66711
0.1645	-7.95593	-5.94177	-3.52478	-50.45471	67.8772
0.165	-7.45239	-9.86938	-3.62549	-40.08179	50.45471
0.1655	-4.33044	-6.74744	-1.40991	-29.60815	35.44922
0.166	-11.07788	-4.73328	-6.94885	-11.98425	27.49329
0.1665	-3.22266	-7.45239	-10.77576	-9.26514	22.05505
0.167	-1.40991	-11.48071	-5.94177	-16.01257	21.3501
0.1675	-7.65381	-5.13611	1.2085	-8.96301	13.29346
0.168	-6.84814	-2.31628	-3.52478	0.50354	1.10779
0.1685	-1.40991	-1.91345	-5.53894	10.17151	-2.21558
0.169	-4.12903	-0.60425	-3.42407	5.23682	-9.26514
0.1695	8.15735	0.90637	2.31628	9.06372	-17.01965
0.17	-3.32336	-3.8269	-0.50354	7.65381	-16.81824
0.1705	-0.90637	-1.3092	-0.40283	13.49487	-19.13452
0.171	-3.52478	-0.30212	2.61841	16.81824	-15.60974
0.1715	-3.8269	-3.92761	0	12.08496	-14.70337
0.172	-11.17859	0.40283	0.50354	10.37292	-18.22815
0.1725	-7.95593	-1.2085	-1.81274	14.80408	-19.63806
0.173	-5.74036	2.41699	0.10071	6.74744	-11.17859
0.1735	-8.66089	-2.5177	-1.40991	-3.7262	-2.21558
0.174	-7.35168	-0.90637	-4.73328	-13.59558	14.90479
0.1745	-1.91345	2.11487	2.11487	-17.01965	8.15735
0.175	3.62549	-4.22974	-4.12903	-17.6239	7.85522
0.1755	10.17151	-3.62549	-3.92761	-7.75452	8.8623
0.176	7.75452	-5.63965	-4.33044	-6.64673	5.84106
0.1765	0.50354	2.21558	-10.27222	-9.36584	10.17151
0.177	5.43823	1.51062	-5.0354	-14.09912	7.04956
0.1775	-0.10071	2.92053	2.92053	-20.04089	11.98425
0.178	1.71204	-1.81274	-1.40991	-17.72461	7.25098
0.1785	-4.12903	7.65381	-1.51062	-11.98425	3.92761
0.179	0.80566	10.67505	-0.60425	-6.74744	-1.00708
0.1795	-4.12903	-2.92053	-2.31628	-7.85522	-6.14319
0.18	-6.14319	-5.53894	-1.71204	-4.93469	-2.71912
0.1805	2.81982	-2.41699	-1.3092	-4.12903	0.30212
0.181	-7.15027	-4.33044	1.3092	2.01416	-3.8269
0.1815	-5.43823	-10.57434	2.5177	-8.25806	-3.12195
0.182	-4.43115	-8.35876	-0.40283	-6.74744	-4.73328
0.1825	-7.75452	-6.74744	-5.63965	1.2085	0.20142
0.183	-5.33752	-4.43115	-4.63257	3.8269	-2.41699
0.1835	-8.56018	-1.61133	0.10071	-0.70496	0.70496
0.184	-8.25806	2.11487	-9.56726	0.30212	5.94177
0.1845	-7.95593	-4.12903	-1.00708	-4.12903	2.31628
0.185	-3.52478	0.20142	-1.71204	-3.52478	3.8269
0.1855	-9.66797	-6.2439	0.40283	5.13611	-1.61133
0.186	-9.86938	-4.22974	-0.10071	5.74036	-3.12195
0.1865	-10.57434	-3.8269	3.42407	9.36584	-2.5177
0.187	-9.66797	-6.2439	0.40283	6.74744	-0.70496
0.1875	-8.05664	-7.04956	-6.14319	12.38708	-10.57434
0.188	-2.41699	-8.25806	-0.10071	21.14868	-18.42957
0.1885	-5.53894	-10.97717	-5.94177	17.82532	-13.59558
0.189	-9.76868	-3.42407	2.11487	19.53735	-17.42249
0.1895	-7.75452	-4.33044	-4.12903	20.94727	-15.71045
0.19	-7.5531	-1.51062	3.92761	25.88196	-26.88904
0.1905	-9.26514	-6.84814	10.37292	20.74585	-18.8324
0.191	-5.74036	-3.92761	4.83398	19.33594	-14.50195
0.1915	-6.14319	-3.7262	-3.22266	5.33752	-8.15735
0.192	-11.98425	2.31628	1.81274	-2.71912	5.74036
0.1925	-6.94885	-2.92053	-0.10071	-8.56018	8.25806
0.193	-5.94177	2.31628	-3.32336	-9.06372	8.8623
0.1935	2.5177	-1.71204	-2.11487	-3.52478	0.20142
